Anime Title,My Rating,MAL Rating,Link
Karakai Jouzu no Takagi-san 2,7,8.09,https://myanimelist.net/anime/38993/Karakai_Jouzu_no_Takagi-san_2
Karakai Jouzu no Takagi-san 3,7,8.50,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
Kaze Tachinu,6,8.10,https://myanimelist.net/anime/16662/Kaze_Tachinu
Kimetsu no Yaiba,7,8.55,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Kimetsu no Yaiba Movie: Mugen Ressha-hen,7,8.66,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
Kimetsu no Yaiba: Mugen Ressha-hen,7,8.39,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
Kimetsu no Yaiba: Yuukaku-hen,7,8.87,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
Kimi ni Todoke,7,8.00,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
Kimi ni Todoke 2nd Season,6,7.99,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season
Kimi no Na wa.,8,8.87,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Kimi no Suizou wo Tabetai,8,8.57,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
Kiseijuu: Sei no Kakuritsu,8,8.35,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Kiss x Sis (TV),10,6.64,https://myanimelist.net/anime/7593/Kiss_x_Sis_TV
Koe no Katachi,8,8.95,https://myanimelist.net/anime/28851/Koe_no_Katachi
Kokoro Connect,8,7.77,https://myanimelist.net/anime/11887/Kokoro_Connect
"Komi-san wa, Comyushou desu.",6,8.03,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu
Kono Subarashii Sekai ni Shukufuku wo!,7,8.12,https://myanimelist.net/anime/30831/Kono_Subarashii_Sekai_ni_Shukufuku_wo
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,7,8.47,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,7,7.85,https://myanimelist.net/anime/32380/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kono_Subarashii_Choker_ni_Shukufuku_wo
Kuzu no Honkai,7,7.18,https://myanimelist.net/anime/32949/Kuzu_no_Honkai
Kyoukai no Kanata,7,7.74,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata
Masamune-kun no Revenge,7,6.75,https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge
Mimi wo Sumaseba,8,8.22,https://myanimelist.net/anime/585/Mimi_wo_Sumaseba
Mirai Nikki (TV),8,7.45,https://myanimelist.net/anime/10620/Mirai_Nikki_TV
Mob Psycho 100,5,8.48,https://myanimelist.net/anime/32182/Mob_Psycho_100
Mob Psycho 100 II,5,8.81,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Mononoke Hime,6,8.68,https://myanimelist.net/anime/164/Mononoke_Hime
Mushoku Tensei: Isekai Ittara Honki Dasu,7,8.37,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,7,8.74,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
Naruto,7,7.97,https://myanimelist.net/anime/20/Naruto
Naruto: Shippuuden,7,8.24,https://myanimelist.net/anime/1735/Naruto__Shippuuden
Neon Genesis Evangelion,5,8.34,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
Nisekoi,8,7.59,https://myanimelist.net/anime/18897/Nisekoi
Nisekoi OVA,6,7.38,https://myanimelist.net/anime/24227/Nisekoi_OVA
Nisekoi:,8,7.36,https://myanimelist.net/anime/27787/Nisekoi_
Nisekoi: OVA,7,7.06,https://myanimelist.net/anime/32553/Nisekoi__OVA
No Game No Life,8,8.11,https://myanimelist.net/anime/19815/No_Game_No_Life
Noragami,7,7.96,https://myanimelist.net/anime/20507/Noragami
Noragami Aragoto,7,8.17,https://myanimelist.net/anime/30503/Noragami_Aragoto
One Punch Man,6,8.51,https://myanimelist.net/anime/30276/One_Punch_Man
Ore Monogatari!!,6,7.91,https://myanimelist.net/anime/28297/Ore_Monogatari
Plastic Memories,7,7.92,https://myanimelist.net/anime/27775/Plastic_Memories
Psycho-Pass,7,8.35,https://myanimelist.net/anime/13601/Psycho-Pass
Ramayana: The Legend of Prince Rama,7,8.18,https://myanimelist.net/anime/4921/Ramayana__The_Legend_of_Prince_Rama
Re:Zero kara Hajimeru Isekai Seikatsu,8,8.25,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8,8.37,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,7,8.48,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
ReLIFE,7,7.99,https://myanimelist.net/anime/30015/ReLIFE
Sakura-sou no Pet na Kanojo,6,8.11,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo
School Days,5,5.55,https://myanimelist.net/anime/2476/School_Days
Seiren,6,6.29,https://myanimelist.net/anime/33836/Seiren
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,7,8.27,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8,8.62,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
Senpai ga Uzai Kouhai no Hanashi,6,7.68,https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi
Senryuu Shoujo,9,7.40,https://myanimelist.net/anime/38787/Senryuu_Shoujo
Shigatsu wa Kimi no Uso,8,8.66,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Shingeki no Kyojin,10,8.53,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Shingeki no Kyojin OVA,10,7.86,https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA
Shingeki no Kyojin Season 2,10,8.50,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
Shingeki no Kyojin Season 3,9,8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
Shingeki no Kyojin Season 3 Part 2,10,9.07,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
Shingeki no Kyojin: Kuinaki Sentaku,10,8.41,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
Shingeki no Kyojin: Lost Girls,10,7.80,https://myanimelist.net/anime/36106/Shingeki_no_Kyojin__Lost_Girls
Shingeki no Kyojin: The Final Season,10,8.84,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
Shingeki no Kyojin: The Final Season Part 2,10,8.84,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
Sono Bisque Doll wa Koi wo Suru,6,8.36,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru
Steins;Gate,9,9.08,https://myanimelist.net/anime/9253/Steins_Gate
Steins;Gate 0,9,8.52,https://myanimelist.net/anime/30484/Steins_Gate_0
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8,8.46,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
Summer Ghost,6,7.89,https://myanimelist.net/anime/48171/Summer_Ghost
Suzumiya Haruhi no Shoushitsu,8,8.62,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
Suzumiya Haruhi no Yuuutsu,7,7.84,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu
Tamako Love Story,7,7.93,https://myanimelist.net/anime/21647/Tamako_Love_Story
Tengen Toppa Gurren Lagann,5,8.63,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Tenki no Ko,7,8.31,https://myanimelist.net/anime/38826/Tenki_no_Ko
The Last: Naruto the Movie,8,7.78,https://myanimelist.net/anime/16870/The_Last__Naruto_the_Movie
Tokyo Ghoul,8,7.79,https://myanimelist.net/anime/22319/Tokyo_Ghoul
Tokyo Ghoul √A,7,7.03,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A
Tokyo Ghoul:re,7,6.38,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re
Tokyo Ghoul:re 2nd Season,7,6.40,https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season
Tonikaku Kawaii,7,7.92,https://myanimelist.net/anime/41389/Tonikaku_Kawaii
Tonikaku Kawaii: SNS,8,8.13,https://myanimelist.net/anime/44931/Tonikaku_Kawaii__SNS
Toradora!,7,8.11,https://myanimelist.net/anime/4224/Toradora
Tsuki ga Kirei,6,8.09,https://myanimelist.net/anime/34822/Tsuki_ga_Kirei
Umi ga Kikoeru,6,6.55,https://myanimelist.net/anime/743/Umi_ga_Kikoeru
Vinland Saga,7,8.73,https://myanimelist.net/anime/37521/Vinland_Saga
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,7,8.02,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,7,8.38,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,7,8.23,https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku
Yakusoku no Neverland,8,8.54,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
Yakusoku no Neverland 2nd Season,6,5.36,https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7,7.86,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
